¹ÉÆ±´úÂë,Ãû³Æ,¿ªÊ¼ÈÕÆÚ,½áÊøÈÕÆÚ,ÕÇ·ù
300891,N»ÝÔÆ,2020-09-17,2020-09-18,-0.16
300891,N»ÝÔÆ,2020-09-21,2020-09-25,-0.08
300891,N»ÝÔÆ,2020-09-28,2020-10-09,0.18
300891,N»ÝÔÆ,2020-10-12,2020-10-16,-0.04
300891,N»ÝÔÆ,2020-10-19,2020-10-23,0.13
300891,N»ÝÔÆ,2020-10-26,2020-10-30,-0.04
300891,N»ÝÔÆ,2020-11-02,2020-11-06,-0.05
300891,N»ÝÔÆ,2020-11-09,2020-11-13,0.17
300891,N»ÝÔÆ,2020-11-16,2020-11-20,0.12
300891,N»ÝÔÆ,2020-11-23,2020-11-27,-0.05
300891,N»ÝÔÆ,2020-11-30,2020-12-04,0.0
300891,N»ÝÔÆ,2020-12-07,2020-12-11,-0.1
300891,N»ÝÔÆ,2020-12-14,2020-12-18,0.02
300891,N»ÝÔÆ,2020-12-21,2020-12-25,-0.08
300891,N»ÝÔÆ,2020-12-28,2020-12-31,-0.01
300891,N»ÝÔÆ,2021-01-04,2021-01-08,-0.06
300891,N»ÝÔÆ,2021-01-11,2021-01-15,0.14
300891,N»ÝÔÆ,2021-01-18,2021-01-22,0.04
300891,N»ÝÔÆ,2021-01-25,2021-01-29,-0.15
300891,N»ÝÔÆ,2021-02-01,2021-02-05,-0.08
300891,N»ÝÔÆ,2021-02-08,2021-02-19,0.11
300891,N»ÝÔÆ,2021-02-22,2021-02-26,-0.05
300891,N»ÝÔÆ,2021-03-01,2021-03-05,0.1
300891,N»ÝÔÆ,2021-03-08,2021-03-12,-0.01
300891,N»ÝÔÆ,2021-03-15,2021-03-19,0.05
300891,N»ÝÔÆ,2021-03-22,2021-03-26,-0.06
300891,N»ÝÔÆ,2021-03-29,2021-04-09,0.07
300891,N»ÝÔÆ,2021-04-12,2021-04-16,-0.04
300891,N»ÝÔÆ,2021-04-19,2021-04-19,0.03
