╧иф╠╢ЗбК,цШЁф,©╙й╪хуфз,╫АйЬхуфз,уг╥Ы
300913,NуваЗ,2020-12-07,2020-12-11,-0.15
300913,NуваЗ,2020-12-14,2020-12-18,-0.02
300913,NуваЗ,2020-12-21,2020-12-25,-0.15
300913,NуваЗ,2020-12-28,2020-12-31,0.01
300913,NуваЗ,2021-01-04,2021-01-08,-0.1
300913,NуваЗ,2021-01-11,2021-01-15,0.05
300913,NуваЗ,2021-01-18,2021-01-22,-0.02
300913,NуваЗ,2021-01-25,2021-01-29,0.0
300913,NуваЗ,2021-02-01,2021-02-05,0.01
300913,NуваЗ,2021-02-08,2021-02-19,-0.0
300913,NуваЗ,2021-02-22,2021-02-26,-0.01
300913,NуваЗ,2021-03-01,2021-03-05,-0.02
300913,NуваЗ,2021-03-08,2021-03-12,0.07
300913,NуваЗ,2021-03-15,2021-03-19,0.02
300913,NуваЗ,2021-03-22,2021-03-26,0.01
300913,NуваЗ,2021-03-29,2021-04-09,0.03
300913,NуваЗ,2021-04-12,2021-04-16,0.01
300913,NуваЗ,2021-04-19,2021-04-19,0.0
