股票代码,名称,开始日期,结束日期,涨幅
300927,N江天,2021-01-07,2021-01-08,0.02
300927,N江天,2021-01-11,2021-01-15,0.05
300927,N江天,2021-01-18,2021-01-22,-0.19
300927,N江天,2021-01-25,2021-01-29,-0.03
300927,N江天,2021-02-01,2021-02-05,-0.15
300927,N江天,2021-02-08,2021-02-19,0.07
300927,N江天,2021-02-22,2021-02-26,0.02
300927,N江天,2021-03-01,2021-03-05,0.03
300927,N江天,2021-03-08,2021-03-12,-0.08
300927,N江天,2021-03-15,2021-03-19,0.09
300927,N江天,2021-03-22,2021-03-26,-0.0
300927,N江天,2021-03-29,2021-04-09,0.07
300927,N江天,2021-04-12,2021-04-16,-0.03
300927,N江天,2021-04-19,2021-04-19,0.02
