股票代码,名称,开始日期,结束日期,涨幅
000748,长城信息,2010-01-04,2010-01-08,-0.03
000748,长城信息,2010-01-11,2010-01-15,0.09
000748,长城信息,2010-01-18,2010-01-22,-0.05
000748,长城信息,2010-01-25,2010-01-29,-0.02
000748,长城信息,2010-02-01,2010-02-05,-0.06
000748,长城信息,2010-02-08,2010-02-12,0.03
000748,长城信息,2010-02-22,2010-02-26,0.04
000748,长城信息,2010-03-01,2010-03-05,-0.0
000748,长城信息,2010-03-08,2010-03-12,-0.04
000748,长城信息,2010-03-15,2010-03-19,0.07
000748,长城信息,2010-03-22,2010-03-26,0.03
000748,长城信息,2010-03-29,2010-04-09,0.03
000748,长城信息,2010-04-12,2010-04-16,-0.01
000748,长城信息,2010-04-19,2010-04-23,0.02
000748,长城信息,2010-04-26,2010-05-07,-0.28
000748,长城信息,2010-05-10,2010-05-14,-0.01
000748,长城信息,2010-05-17,2010-05-21,-0.06
000748,长城信息,2010-05-24,2010-05-24,None
000748,长城信息,2010-05-25,2010-05-28,0.0
000748,长城信息,2010-05-31,2010-06-04,-0.03
000748,长城信息,2010-06-07,2010-06-18,0.02
000748,长城信息,2010-06-21,2010-06-25,-0.01
000748,长城信息,2010-06-28,2010-07-02,-0.13
000748,长城信息,2010-07-05,2010-07-09,0.06
000748,长城信息,2010-07-12,2010-07-16,-0.02
000748,长城信息,2010-07-19,2010-07-23,0.08
000748,长城信息,2010-07-26,2010-07-30,0.04
000748,长城信息,2010-08-02,2010-08-06,0.03
000748,长城信息,2010-08-09,2010-08-13,-0.01
000748,长城信息,2010-08-16,2010-08-20,0.0
000748,长城信息,2010-08-23,2010-08-27,0.04
000748,长城信息,2010-08-30,2010-09-03,0.04
000748,长城信息,2010-09-06,2010-09-10,0.09
000748,长城信息,2010-09-13,2010-09-15,-0.05
000748,长城信息,2010-09-16,2010-09-16,None
000748,长城信息,2010-09-17,2010-09-17,0.01
000748,长城信息,2010-09-20,2010-09-21,-0.05
000748,长城信息,2010-09-27,2010-10-08,0.07
000748,长城信息,2010-10-11,2010-10-15,-0.06
000748,长城信息,2010-10-18,2010-10-22,0.08
000748,长城信息,2010-10-25,2010-10-29,0.03
000748,长城信息,2010-11-01,2010-11-05,0.06
000748,长城信息,2010-11-08,2010-11-12,-0.14
000748,长城信息,2010-11-15,2010-11-19,0.05
000748,长城信息,2010-11-22,2010-11-26,0.05
000748,长城信息,2010-11-29,2010-12-03,-0.06
000748,长城信息,2010-12-06,2010-12-10,-0.04
000748,长城信息,2010-12-13,2010-12-17,0.03
000748,长城信息,2010-12-20,2010-12-24,-0.07
000748,长城信息,2010-12-27,2011-01-07,-0.03
000748,长城信息,2011-01-10,2011-01-14,-0.07
000748,长城信息,2011-01-17,2011-01-21,-0.01
000748,长城信息,2011-01-24,2011-01-28,0.05
000748,长城信息,2011-01-31,2011-02-11,0.03
